timestamp,src_ip,query_name,query_type,response
2026-04-02 12:47:25,10.0.0.14,www.google.com,A,203.127.236.29
2026-04-02 12:18:06,10.0.0.13,static.google.com,A,203.247.142.216
2026-04-02 10:55:42,10.0.0.14,static.zoom.us,A,203.205.72.96
2026-04-02 11:18:25,10.0.0.6,assets.apple.com,A,203.63.113.39
2026-04-02 08:01:00,10.0.0.22,static.github.com,A,203.180.68.182
2026-04-02 11:29:02,10.0.0.5,login.teams.microsoft.com,A,203.128.55.154
2026-04-02 14:29:38,10.0.0.12,cdn.zoom.us,A,203.2.170.142
2026-04-02 11:29:32,10.0.0.10,cdn.cloudflare.com,A,203.109.52.6
2026-04-02 14:55:36,10.0.0.10,assets.apple.com,A,203.123.197.49
2026-04-02 08:00:37,10.0.0.14,QUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB.tunnel-exfil.xyz,TXT,NXDOMAIN
2026-04-02 08:43:43,10.0.0.14,QUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQ.tunnel-exfil.xyz,TXT,NXDOMAIN
2026-04-02 12:07:42,10.0.0.31,cdn.linkedin.com,A,203.67.149.181
2026-04-02 13:19:42,10.0.0.31,mail.apple.com,A,203.60.219.166
2026-04-02 08:17:29,10.0.0.14,QUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB.tunnel-exfil.xyz,TXT,NXDOMAIN
2026-04-02 10:17:29,10.0.0.19,api.teams.microsoft.com,A,203.223.90.192
2026-04-02 08:48:23,10.0.0.31,QUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB.data-out.io,TXT,NXDOMAIN
2026-04-02 08:52:33,10.0.0.14,QUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB.tunnel-exfil.xyz,TXT,NXDOMAIN
2026-04-02 09:51:06,10.0.0.5,static.google.com,A,203.79.195.241
2026-04-02 11:44:36,10.0.0.12,mail.google.com,A,203.37.229.76
2026-04-02 08:04:08,10.0.0.14,QUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQQ.tunnel-exfil.xyz,TXT,NXDOMAIN
2026-04-02 08:19:21,10.0.0.14,QUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQQ.tunnel-exfil.xyz,TXT,NXDOMAIN
2026-04-02 14:39:55,10.0.0.31,api.office365.com,A,203.234.82.2
2026-04-02 12:32:27,10.0.0.12,www.slack.com,A,203.167.228.237
2026-04-02 15:29:14,10.0.0.8,login.zoom.us,A,203.121.10.93
2026-04-02 11:55:57,10.0.0.5,www.apple.com,A,203.85.24.108
2026-04-02 08:47:34,10.0.0.31,QUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUE.data-out.io,TXT,NXDOMAIN
2026-04-02 11:27:46,10.0.0.19,assets.office365.com,A,203.215.40.55
2026-04-02 08:56:13,10.0.0.31,QUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQQ.data-out.io,TXT,NXDOMAIN
2026-04-02 13:14:27,10.0.0.9,assets.google.com,A,203.171.227.169
2026-04-02 14:04:12,10.0.0.10,cdn.linkedin.com,A,203.155.238.230
2026-04-02 11:14:52,10.0.0.14,static.google.com,A,203.28.110.104
2026-04-02 10:44:08,10.0.0.8,static.microsoft.com,A,203.57.66.45
2026-04-02 11:30:54,10.0.0.6,assets.cloudflare.com,A,203.211.85.236
2026-04-02 08:13:15,10.0.0.14,static.github.com,A,203.159.224.36
2026-04-02 08:43:04,10.0.0.14,www.github.com,A,203.122.218.187
2026-04-02 09:04:59,10.0.0.6,assets.office365.com,A,203.163.34.8
2026-04-02 08:16:42,10.0.0.14,QUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQU.tunnel-exfil.xyz,TXT,NXDOMAIN
2026-04-02 08:18:21,10.0.0.14,QUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB.tunnel-exfil.xyz,TXT,NXDOMAIN
2026-04-02 14:15:37,10.0.0.14,login.zoom.us,A,203.22.15.229
2026-04-02 14:47:51,10.0.0.12,www.zoom.us,A,203.58.111.94
2026-04-02 08:41:59,10.0.0.31,QUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQ.data-out.io,TXT,NXDOMAIN
2026-04-02 09:52:51,10.0.0.9,mail.zoom.us,A,203.179.253.223
2026-04-02 08:18:29,10.0.0.5,www.cloudflare.com,A,203.45.189.52
2026-04-02 08:17:58,10.0.0.31,QUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQ.data-out.io,TXT,NXDOMAIN
2026-04-02 08:04:35,10.0.0.31,QUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQ.data-out.io,TXT,NXDOMAIN
2026-04-02 13:45:22,10.0.0.12,assets.teams.microsoft.com,A,203.114.243.87
2026-04-02 10:49:46,10.0.0.10,mail.github.com,A,203.142.49.168
2026-04-02 09:40:17,10.0.0.10,login.slack.com,A,203.245.110.86
