timestamp,src_ip,query_name,query_type,response
2026-04-02 10:40:33,10.0.0.6,login.github.com,A,52.63.192.63
2026-04-02 13:27:37,10.0.0.5,www.linkedin.com,A,52.144.236.241
2026-04-02 08:35:58,10.0.0.9,cdn.zoom.us,A,52.120.67.49
2026-04-02 11:18:02,10.0.0.12,www.google.com,A,52.116.128.208
2026-04-02 13:43:19,10.0.0.19,login.cloudflare.com,A,52.84.50.227
2026-04-02 13:10:51,10.0.0.19,assets.office365.com,A,52.254.77.245
2026-04-02 15:18:35,10.0.0.12,cdn.zoom.us,A,52.147.183.29
2026-04-02 12:16:03,10.0.0.6,login.office365.com,A,52.158.173.100
2026-04-02 08:28:56,10.0.0.8,login.linkedin.com,A,52.21.252.62
2026-04-02 13:41:10,10.0.0.19,api.microsoft.com,A,52.13.177.254
2026-04-02 09:35:10,10.0.0.13,cdn.google.com,A,52.79.172.95
2026-04-02 10:44:06,10.0.0.22,assets.github.com,A,52.114.222.61
2026-04-02 15:04:19,10.0.0.31,api.office365.com,A,52.72.179.208
2026-04-02 08:36:01,10.0.0.31,cdn.cloudflare.com,A,52.71.3.126
2026-04-02 14:46:33,10.0.0.19,cdn.slack.com,A,52.191.173.229
2026-04-02 08:16:35,10.0.0.8,cdn.slack.com,A,52.200.254.164
2026-04-02 11:03:28,10.0.0.31,login.zoom.us,A,52.15.170.166
2026-04-02 10:42:51,10.0.0.6,login.microsoft.com,A,52.27.168.208
2026-04-02 15:48:58,10.0.0.6,login.microsoft.com,A,52.146.168.188
2026-04-02 14:19:35,10.0.0.5,assets.linkedin.com,A,52.65.100.164
2026-04-02 09:41:36,10.0.0.5,cdn.teams.microsoft.com,A,52.174.164.151
2026-04-02 08:58:05,10.0.0.10,www.microsoft.com,A,52.36.233.207
2026-04-02 12:35:16,10.0.0.12,api.cloudflare.com,A,52.99.94.93
2026-04-02 08:19:20,10.0.0.5,login.zoom.us,A,52.158.121.116
2026-04-02 11:53:38,10.0.0.10,api.linkedin.com,A,52.74.172.118
2026-04-02 15:15:52,10.0.0.22,login.apple.com,A,52.59.244.118
2026-04-02 14:32:48,10.0.0.12,www.linkedin.com,A,52.217.7.96
2026-04-02 14:56:45,10.0.0.12,cdn.slack.com,A,52.35.177.124
2026-04-02 10:40:53,10.0.0.10,api.slack.com,A,52.222.25.48
2026-04-02 10:31:07,10.0.0.12,www.linkedin.com,A,52.156.230.112
2026-04-02 08:52:28,10.0.0.13,api.microsoft.com,A,52.48.177.119
2026-04-02 13:45:15,10.0.0.31,cdn.teams.microsoft.com,A,52.195.66.189
2026-04-02 08:25:52,10.0.0.9,www.office365.com,A,52.177.4.217
2026-04-02 15:58:11,10.0.0.8,assets.google.com,A,52.58.85.189
2026-04-02 15:06:53,10.0.0.10,assets.microsoft.com,A,52.43.148.113
2026-04-02 13:54:30,10.0.0.12,cdn.linkedin.com,A,52.104.22.55
2026-04-02 12:59:26,10.0.0.9,login.github.com,A,52.124.214.242
2026-04-02 08:36:35,10.0.0.13,assets.slack.com,A,52.208.123.11
2026-04-02 15:48:20,10.0.0.5,login.zoom.us,A,52.217.170.12
2026-04-02 11:48:50,10.0.0.14,login.zoom.us,A,52.62.229.65
2026-04-02 14:23:31,10.0.0.14,cdn.office365.com,A,52.245.98.109
2026-04-02 12:26:25,10.0.0.8,www.teams.microsoft.com,A,52.132.232.103
2026-04-02 12:39:03,10.0.0.31,api.github.com,A,52.179.54.2
2026-04-02 12:13:52,10.0.0.14,api.slack.com,A,52.93.19.47
2026-04-02 08:40:56,10.0.0.6,cdn.zoom.us,A,52.101.91.134
2026-04-02 10:16:37,10.0.0.19,login.apple.com,A,52.34.10.18
2026-04-02 08:24:22,10.0.0.6,cdn.slack.com,A,52.239.183.144
2026-04-02 13:11:16,10.0.0.5,api.cloudflare.com,A,52.82.198.220
2026-04-02 14:32:29,10.0.0.12,www.zoom.us,A,52.48.7.162
2026-04-02 09:05:01,10.0.0.6,www.microsoft.com,A,52.191.113.67
2026-04-02 08:46:41,10.0.0.19,api.linkedin.com,A,52.148.230.9
2026-04-02 15:22:29,10.0.0.13,cdn.apple.com,A,52.196.31.135
2026-04-02 13:30:53,10.0.0.22,login.teams.microsoft.com,A,52.213.51.31
2026-04-02 15:05:23,10.0.0.19,www.office365.com,A,52.11.244.205
2026-04-02 13:47:46,10.0.0.13,cdn.teams.microsoft.com,A,52.131.99.40
2026-04-02 11:24:29,10.0.0.6,api.teams.microsoft.com,A,52.82.217.248
2026-04-02 09:40:53,10.0.0.8,login.teams.microsoft.com,A,52.154.1.111
2026-04-02 11:53:14,10.0.0.31,api.apple.com,A,52.22.60.161
2026-04-02 10:20:53,10.0.0.9,www.slack.com,A,52.59.246.154
2026-04-02 15:14:30,10.0.0.6,cdn.linkedin.com,A,52.206.249.40
2026-04-02 10:40:40,10.0.0.31,login.apple.com,A,52.19.98.201
2026-04-02 09:22:36,10.0.0.5,login.google.com,A,52.2.235.73
2026-04-02 15:52:22,10.0.0.6,cdn.microsoft.com,A,52.241.253.146
2026-04-02 13:15:53,10.0.0.10,login.github.com,A,52.143.103.84
2026-04-02 12:45:27,10.0.0.10,cdn.office365.com,A,52.206.235.84
2026-04-02 12:53:01,10.0.0.13,login.office365.com,A,52.87.92.134
2026-04-02 15:55:59,10.0.0.13,assets.slack.com,A,52.38.156.190
2026-04-02 10:56:50,10.0.0.6,assets.linkedin.com,A,52.158.183.46
2026-04-02 15:08:28,10.0.0.5,api.cloudflare.com,A,52.133.222.88
2026-04-02 11:41:45,10.0.0.9,assets.microsoft.com,A,52.16.123.51
2026-04-02 15:39:24,10.0.0.8,login.google.com,A,52.158.250.184
2026-04-02 15:05:34,10.0.0.6,cdn.zoom.us,A,52.89.247.52
2026-04-02 13:37:42,10.0.0.8,api.apple.com,A,52.86.63.7
2026-04-02 13:53:47,10.0.0.9,www.github.com,A,52.3.111.163
2026-04-02 08:19:51,10.0.0.22,assets.google.com,A,52.10.2.232
2026-04-02 12:25:16,10.0.0.22,www.microsoft.com,A,52.169.30.88
2026-04-02 13:32:15,10.0.0.5,login.linkedin.com,A,52.190.205.119
2026-04-02 15:10:08,10.0.0.14,assets.zoom.us,A,52.222.198.229
2026-04-02 11:32:52,10.0.0.31,www.office365.com,A,52.5.242.166
